NACA 2215                                       
 Alfa =   5.00000 Re =        0.000 Xflap,Yflap =     0.000000    0.000000
    x        y        Cp  
   1.00000  0.00158  0.48501
   0.99316  0.00311  0.29440
   0.98168  0.00566  0.21374
   0.96867  0.00850  0.15066
   0.95421  0.01161  0.09916
   0.93853  0.01492  0.05396
   0.92189  0.01836  0.01266
   0.90458  0.02187 -0.02431
   0.88684  0.02539 -0.05940
   0.86881  0.02889 -0.09158
   0.85060  0.03234 -0.12229
   0.83229  0.03574 -0.15144
   0.81391  0.03907 -0.17926
   0.79548  0.04233 -0.20655
   0.77702  0.04552 -0.23266
   0.75854  0.04864 -0.25824
   0.74005  0.05168 -0.28397
   0.72156  0.05464 -0.30885
   0.70306  0.05752 -0.33383
   0.68456  0.06032 -0.35880
   0.66607  0.06304 -0.38352
   0.64759  0.06567 -0.40879
   0.62912  0.06821 -0.43379
   0.61067  0.07066 -0.45932
   0.59224  0.07303 -0.48510
   0.57383  0.07529 -0.51111
   0.55545  0.07745 -0.53792
   0.53710  0.07952 -0.56482
   0.51879  0.08147 -0.59261
   0.50053  0.08331 -0.62080
   0.48231  0.08504 -0.64963
   0.46414  0.08664 -0.67920
   0.44602  0.08812 -0.70983
   0.42798  0.08947 -0.74114
   0.41000  0.09068 -0.77318
   0.39210  0.09174 -0.80660
   0.37429  0.09266 -0.84094
   0.35658  0.09341 -0.87668
   0.33898  0.09401 -0.91351
   0.32150  0.09443 -0.95217
   0.30418  0.09468 -0.99280
   0.28702  0.09474 -1.03520
   0.27008  0.09461 -1.08043
   0.25340  0.09428 -1.12877
   0.23706  0.09375 -1.18185
   0.22113  0.09303 -1.24074
   0.20575  0.09212 -1.31513
   0.19104  0.09099 -1.42107
   0.17697  0.08953 -1.48230
   0.16341  0.08774 -1.52948
   0.15034  0.08562 -1.56477
   0.13776  0.08322 -1.59227
   0.12569  0.08054 -1.61241
   0.11419  0.07764 -1.62552
   0.10331  0.07455 -1.63395
   0.09311  0.07131 -1.63611
   0.08361  0.06799 -1.63472
   0.07484  0.06462 -1.62954
   0.06679  0.06125 -1.62051
   0.05946  0.05791 -1.60977
   0.05280  0.05464 -1.59529
   0.04676  0.05144 -1.57950
   0.04130  0.04832 -1.56046
   0.03637  0.04530 -1.53983
   0.03190  0.04237 -1.51569
   0.02786  0.03952 -1.48900
   0.02421  0.03675 -1.45907
   0.02090  0.03406 -1.42348
   0.01790  0.03144 -1.38493
   0.01519  0.02888 -1.33786
   0.01275  0.02636 -1.28531
   0.01055  0.02390 -1.22201
   0.00858  0.02148 -1.15057
   0.00683  0.01909 -1.06455
   0.00529  0.01673 -0.96719
   0.00395  0.01440 -0.85112
   0.00281  0.01210 -0.72078
   0.00187  0.00982 -0.57013
   0.00112  0.00758 -0.40467
   0.00057  0.00536 -0.22571
   0.00020  0.00319 -0.03949
   0.00002  0.00106  0.14923
   0.00002 -0.00101  0.32898
   0.00020 -0.00312  0.50162
   0.00059 -0.00525  0.66109
   0.00121 -0.00738  0.79748
   0.00206 -0.00950  0.90145
   0.00315 -0.01158  0.96786
   0.00449 -0.01361  0.99737
   0.00607 -0.01557  0.99538
   0.00789 -0.01747  0.96940
   0.00993 -0.01929  0.92745
   0.01221 -0.02105  0.87590
   0.01472 -0.02274  0.81998
   0.01748 -0.02436  0.76348
   0.02049 -0.02594  0.70732
   0.02377 -0.02747  0.65466
   0.02735 -0.02895  0.60485
   0.03126 -0.03040  0.55824
   0.03555 -0.03182  0.51548
   0.04026 -0.03322  0.47636
   0.04546 -0.03460  0.44017
   0.05123 -0.03596  0.40735
   0.05765 -0.03731  0.37740
   0.06483 -0.03865  0.35023
   0.07290 -0.03999  0.32524
   0.08199 -0.04132  0.30284
   0.09225 -0.04264  0.28260
   0.10378 -0.04395  0.26399
   0.11666 -0.04524  0.24713
   0.13087 -0.04652  0.23095
   0.14632 -0.04778  0.21526
   0.16279 -0.04903  0.19843
   0.17996 -0.05028  0.17944
   0.19740 -0.05153  0.14964
   0.21474 -0.05269  0.11268
   0.23203 -0.05361  0.09323
   0.24937 -0.05432  0.07782
   0.26680 -0.05484  0.06592
   0.28436 -0.05517  0.05673
   0.30205 -0.05535  0.04939
   0.31987 -0.05536  0.04386
   0.33781 -0.05523  0.03965
   0.35586 -0.05496  0.03669
   0.37403 -0.05456  0.03462
   0.39230 -0.05404  0.03371
   0.41066 -0.05341  0.03317
   0.42911 -0.05267  0.03347
   0.44764 -0.05183  0.03438
   0.46624 -0.05089  0.03564
   0.48490 -0.04987  0.03738
   0.50363 -0.04877  0.03940
   0.52241 -0.04759  0.04194
   0.54124 -0.04634  0.04441
   0.56012 -0.04502  0.04735
   0.57904 -0.04364  0.05060
   0.59799 -0.04220  0.05377
   0.61698 -0.04070  0.05739
   0.63600 -0.03915  0.06107
   0.65504 -0.03756  0.06501
   0.67410 -0.03591  0.06903
   0.69318 -0.03423  0.07355
   0.71227 -0.03249  0.07796
   0.73137 -0.03072  0.08294
   0.75047 -0.02891  0.08813
   0.76957 -0.02706  0.09346
   0.78865 -0.02518  0.09999
   0.80772 -0.02326  0.10637
   0.82676 -0.02130  0.11371
   0.84573 -0.01931  0.12205
   0.86459 -0.01730  0.13155
   0.88328 -0.01526  0.14210
   0.90169 -0.01322  0.15467
   0.91963 -0.01119  0.16969
   0.93686 -0.00920  0.18751
   0.95307 -0.00730  0.20934
   0.96796 -0.00552  0.23698
   0.98131 -0.00389  0.27477
   0.99304 -0.00244  0.33083
   1.00000 -0.00158  0.48501
